id,name,ability,firstNightReminder,otherNightReminder,reminders,firstNight,otherNight,team,edition,setup
lunatic,משוגע,"אתה חושב שאתה השד, אבל אתה לא. השד יודע מי אתה ואת מי אתה בוחר בלילה.","אם יש 7 שחקנים או יותר: תראה למשוגע מספר משרתים שרירותיים, כמספר המשרתים שבמשחק. תראה למשוגע 3 אסימוני דמויות טובות שרירותיות. אם האסימון שהמשוגע קיבל הוא של שד שקם בלילה הראשון: הרשה למשוגע לעשות את הפעולות של השד. תשים את סממן ה""תקיפה"" על השחקנים שהמשוגע בחר בהם. תעיר את השד. תראה לו את סממני ה""תקיפה"", ואז תצביע על השחקנים שהמשוגע בחר בהם. תסיר את סממני ה""תקיפה"". ","הרשה למשוגע לעשות את הפעולות של השד. תשים את סממן ה""תקיפה"" על השחקנים שהמשוגע בחר בהם. תעיר את השד. תראה לו את סממני ה""תקיפה"", ואז תצביע על השחקנים שהמשוגע בחר בהם. תסיר את סממני ה""תקיפה"". ","התקפה 1, התקפה 2, התקפה 3",15,27,outsider,bmr,FALSE
lycanthrope,ליקנטרופ,"בכל לילה*, תבחר שחקן חי: אם הוא טוב, הוא מת, אבל הוא השחקן היחיד שיכול למות הלילה.",,"הליקנטרופ מצביע על שחקן חי: אם הוא טוב, הוא מת ואף אחד אחר לא מת הלילה.",מת,-1,29,townsfolk,experimental,FALSE
magician,קוסם,השד חושב שאתה משרת. המשרתים חושבים שאתה שד.,,,,12,-1,townsfolk,experimental,FALSE
marionette,מריונטה,את חושבת שאת דמות טובה אבל את לא. השד יודע מי את. [את שכנה של השד],"תבחר אחד מהשכנים הטובים של השד ותניח את סממן ה""מריונטה"" לידו. תעיר את השד ותראה לו את המריונטה.",,המריונטה,19,-1,minion,experimental,TRUE
mastermind,גאון,"אם השד מת בהוצאה להורג (מה שיסיים את המשחק), שחקו לעוד יום אחד. אם שחקן מוצא להורג, הקבוצה שלו מפסידה.",,,,-1,-1,minion,bmr,FALSE
mathematician,מתמטיקאי,"בכל לילה, אתה לומד כמה יכולות של שחקנים פעלו באופן שונה (מאז השחר) בגלל יכולת של שחקן אחר.","תראה למתמטיקאי מספר עם היד (0,1,2,...) של מספר השחקנים שהיכולות שלהם לא תפקדו טוב בגלל יכולות אחרות.","תראה למתמטיקאי מספר עם היד (0,1,2,...) של מספר השחקנים שהיכולות שלהם לא תפקדו טוב בגלל יכולות אחרות.",שונה,63,79,townsfolk,snv,FALSE
matron,אם הבית,"בכל יום, את רשאית לבחור עד 3 זוגות שחקנים שיחליפו מקומות ביניהם. שחקנים לא רשאים לקום מהכיסאות כדי לדבר בפרטיות.",,,,-1,-1,traveller,experimental,FALSE
mayor,ראש העיר,"אם יש רק 3 שחקנים חיים ואין הוצאה להורג, הקבוצה שלך מנצחת. אם אתה מת בלילה, שחקן אחר עלול למות במקומך.",,,,-1,-1,townsfolk,tb,FALSE
mezepheles,מזפליס,אתה מתחיל בידיעה של מילה סודית. השחקן הטוב הראשון שאומר את המילה הזו הופך לרע בלילה.,תראה למזפליס את המילה הסודית שלו.,"תעיר את השחקן הטוב הראשון שאמר את המילה הסודית של המזפליס ותראה לו את אסימון ""אתה"" ואת סימן האגודל כלפי מטה שמסמן שהוא רע.","הפך לרע, אין יכולת",35,25,minion,experimental,FALSE
minstrel,זמר,"כשמשרת מת בהוצאה להורג, כל שאר השחקנים (חוץ מהמטיילים) שיכורים עד השחר הבא.",,,כולם שיכורים,-1,-1,townsfolk,bmr,FALSE
monk,נזיר,"בכל לילה*, תבחר שחקן (חוץ מעצמך): הוא בטוח מפני השד הלילה.",,"השחקן המוגן הקודם כבר לא מוגן. הנזיר מצביע על שחקן חוץ מעצמו. תסמן את השחקן הזה כ""מוגן"".",מוגן,-1,18,townsfolk,tb,FALSE
moonchild,ילד הירח,"כשאתה לומד שאתה מת, תכריז בפומבי על שחקן אחד חי. הלילה, אם הוא היה שחקן טוב, הוא מת.",,"אם ילד הירח השתמש ביכולת שלו כדי לבחור שחקן היום: אם השחקן הזה היה טוב, הוא מת.",מת,-1,57,outsider,bmr,FALSE
mutant,מוטנט,"אם אתה ""משתגע"" על זה שאתה זר, אתה עלול למות.",,,,-1,-1,outsider,snv,FALSE
nightwatchman,שומר לילה,"פעם אחת במשחק, תבחר שחקן: הוא לומד מי אתה.","שומר הלילה רשאי להצביע על שחקן. תעיר את השחקן הזה, תראה לו ""הדמות הזו בחרה אותך"" ואת אסימון שומר הלילה, ואז תצביע על השחקן של שומר הלילה.","שומר הלילה רשאי להצביע על שחקן. תעיר את השחקן הזה, תראה לו ""הדמות הזו בחרה אותך"" ואת אסימון שומר הלילה, ואז תצביע על השחקן של שומר הלילה.",אין יכולת,57,72,townsfolk,experimental,FALSE
noble,אציל,"אתה מתחיל בלדעת שלושה שחקנים, שרק אחד מהם הוא רע.","תצביע ל3 שחקנים שהדמות של אחד מהם היא רעה, בסדר אקראי",,נראה,54,-1,townsfolk,experimental,FALSE
nodashii,נו דאשי,"בכל לילה*, תבחר שחקן: הוא מת. שני השכנים תושבי העיירה שלך הם שיכורים.",,הנו דאשי מצביע על שחקן. הוא מת.,"מת, מורעל",-1,37,demon,snv,FALSE
oracle,אורקל,"בכל לילה*, אתה לומד כמה שחקנים מתים הם רעים.",,"תראה מספר עם היד (0,1,2,..) של מספר הרעים המתים.",,-1,66,townsfolk,snv,FALSE
organgrinder,קופיפון האיברים,כל השחקנים משאירים את עיניהם סגורות בזמן הצבעה וסך הקולות נשאר בסוד. הצבעות עליך נספרות רק אם אתה מצביע.,,,עומד למות,-1,-1,minion,experimental,FALSE
pacifist,פציפיסט,שחקנים טובים שהוצאו להורג עלולים לא למות.,,,,-1,-1,townsfolk,bmr,FALSE
philosopher,פילוסוף,"פעם אחת במשחק, בלילה, תבחר דמות טובה: תקבל את היכולת שלה. אם הדמות הזו במשחק, השחקן שלה שיכור.","הפילוסוף מנדנד את ראשו לשלילה או מצביע על דמות טובה בדף הדמות שלו. אם הוא בחר בדמות: תחליף את האסימון של הדמות הזו עם האסימון של הפילוסוף. אם הדמות הזו במשחק, שים את סממן ה""שיכור"" על הדמות ואת סממן ""לא הפילוסוף"" על הפילוסוף.","אם הפילוסוף עוד לא השתמש ביכולת שלו: הפילוסוף מנדנד את ראשו לשלילה או מצביע על דמות טובה בדף הדמות שלו. אם הוא בחר בדמות: תחליף את האסימון של הדמות הזו עם האסימון של הפילוסוף. אם הדמות הזו במשחק, שים את סממן ה""שיכור"" על הדמות ואת סממן ""לא הפילוסוף"" על הפילוסוף.","שיכור, הוא הפילוסוף",9,8,townsfolk,snv,FALSE
pithag,קרואלה,"בכל לילה*, תבחרי שחקן ודמות שהוא הופך אליה (אם לא במשחק). אם נוצר שד הלילה, מיתות הלילה יקבעו באופן שרירותי.",,"קרואלה מצביעה על שחקן ועל דמות בדף הדמויות. אם הדמות הזו לא במשחק, תעיר את השחקן ותראה לו ""אתה"" ואת אסימון הדמות הרלוונטית. אם הדמות הזו במשחק, כלום לא קורה.",,-1,22,minion,snv,FALSE
pixie,פיה,"את מתחילה בידיעה של דמות תושב-עיירה אחת שבמשחק. אם את היית ""משוגעת"" שאת הדמות הזו, את מקבלת את היכולת שלה כשהיא מתה.",תראה לפיה אסימון של דמות תושב-עיירה שנמצאת במשחק.,,"משוגע, יש יכולת",37,-1,townsfolk,experimental,FALSE
po,פו,"בכל לילה*, אתה רשאי לבחור שחקן: הוא מת. אם הבחירה האחרונה שלך הייתה אף אחד, תבחר 3 שחקנים הלילה.",,אם פו לא בחר אף אחד בלילה הקודם: פו מצביע על 3 שחקנים. אחרת: פו מנדנד את ראשו לשלילה או מצביע על שחקן. מי שנבחר כך מת.,"מת, 3 התקפות",-1,35,demon,bmr,FALSE
poisoner,מרעיל,"בכל לילה, תבחר שחקן: הוא מורעל ללילה ויום אחד.",המרעיל מצביע על שחקן. הוא מורעל.,השחקן שהורעל בלילה הקודם כבר לא מורעל. המרעיל מצביע על שחקן. הוא מורעל.,מורעל,24,13,minion,tb,FALSE
politician,פוליטיקאי,"אם היית השחקן הכי אחראי לכך שהקבוצה שלך הפסידה, אתה עובר קבוצה ומנצח, אפילו אם אתה מת.",,,,-1,-1,outsider,experimental,FALSE
poppygrower,מגדל פרג,"משרתים ושדים לא יודעים אחד על השני. אם אתה מת, הם ילמדו הלילה אחד על השני.",אל תודיע למשרתים ולשד אחד על השני.,"אם מגדל הפרג מת, תודיע לשד ולמשרתים אחד על השני.",רעים מתעוררים,11,9,townsfolk,experimental,FALSE
preacher,דרשן,"בכל לילה, תבחר שחקן: אם בחרת במשרת, הוא לומד את זה. כל משרת שבחרת בו הוא חסר יכולת.","הדרשן בוחר שחקן. אם הוא בחר במשרת, תעיר את המשרת ותראה לו ""הדמות הזו בחרה אותך"" ואת אסימון הדרשן.","הדרשן בוחר שחקן. אם הוא בחר במשרת, תעיר את המשרת ותראה לו ""הדמות הזו בחרה אותך"" ואת אסימון הדרשן.",בדרשה,21,12,townsfolk,experimental,FALSE
professor,פרופסור,"פעם אחת במשחק, בלילה*, תבחר שחקן מת: אם הוא תושב עיירה, הוא חוזר לחיים.",,"אם הפרופסור לא השתמש ביכולת שלו: הפרופסור מנדנד את ראשו לשלילה, או שהוא מצביע על שחקן. אם נבחר תושב-עיירה, הוא חזור לחיים.","חי, אין יכולת",-1,50,townsfolk,bmr,FALSE
psychopath,פסיכופת,"בכל יום, לפני הצבעות, אתה רשאי להכריז בפומבי על שחקן: הוא מת. אם מוציאים אותך להורג, אתה מת רק אם הפסדת באבן נייר ומספריים למי שהציע אותך להצבעה.",,,,-1,-1,minion,experimental,FALSE
pukka,פוקה,"בכל לילה, תבחר שחקן: הוא מורעל. השחקן המורעל הקודם מת והופך לבריא.","הפוקה מצביע על שחקן, הוא מורעל.","הפוקה מצביע על שחקן, הוא מורעל, השחקן המורעל הקודם מת.","מורעל, מת",36,33,demon,bmr,FALSE
puzzlemaster,פותר החידות,"שחקן אחד הוא שיכור, אפילו אם אתה מת. אם אתה מנחש (פעם אחת) מי השיכור, אתה יודע מי השחקן של השד, אבל אם תנחש לא נכון, תקבל מידע שגוי.",,,"שיכור, ניחוש בוזבז",-1,-1,outsider,experimental,FALSE
ravenkeeper,שומר העורבים,"אם אתה מת בלילה, אתה מתעורר ובוחר שחקן: אתה לומד מה הדמות שלו.",,"אם שומר העורבים מת הלילה: שומר העורבים מצביע על שחקן, תראה לו את אסימון הדמות של השחקן הזה.",,-1,59,townsfolk,tb,FALSE
recluse,מתבודד,"אתה עלול להיחשב כרע וכמשרת או שד, אפילו אם אתה מת.",,,,-1,-1,outsider,tb,FALSE
revolutionary,מהפכן,"יש 2 שחקנים שכנים מאותה הקבוצה. פעם אחת במשחק, אחד מהם נחשב בקבוצה השנייה.",,,"נחשב כטוב, נחשב כרע",-1,-1,fabled,experimental,FALSE
riot,מהומה,"מי שמציעים להצבעה מת, אבל הוא רשאי גם להציע שוב בעצמו ישר אחרי (ביום השלישי, הוא חייב). אחרי יום 3, הרעים מנצחים. [כל המשרתים הם מהומה]",,,,-1,-1,demon,experimental,TRUE
sage,משכיל,"אם השד הורג אותך, אתה לומד שזה אחד מבין 2 שחקנים.",,"אם המשכיל נהרג ע""י שד: תצביע על שני שחקנים, אחד מהם הוא השד.",,-1,49,townsfolk,snv,FALSE
sailor,ימאי,"בכל לילה, תבחר שחקן חי: או אתה או הוא שיכור עד השחר. אתה לא יכול למות.",הימאי מצביע על שחקן חי. או הימאי או השחקן הנבחר שיכורים.,השחקן השיעור הקודם כבר לא שיכור. הימאי מצביע על שחקן חי. או הימאי או השחקן הנבחר שיכורים.,שיכור,18,10,townsfolk,bmr,FALSE
saint,קדוש,"אם אתה מת ע""י הוצאה להורג, הקבוצה שלך מפסידה.",,,,-1,-1,outsider,tb,FALSE
savant,מלומד,"בכל יום, אתה רשאי לבקר את מספר הסיפורים וללמוד 2 דברים: אחד מהם הוא אמת ואחד הוא שקר.",,,,-1,-1,townsfolk,snv,FALSE
scapegoat,שעיר לעזאזל,"אם שחקן מהקבוצה שלך מוצא להורג, אתה עלול להיות מוצא להורג במקומו.",,,,-1,-1,traveller,experimental,FALSE
scarletwoman,אשת הארגמן,"אם יש לפחות 5 שחקנים חיים והשד מת, את הופכת לשד (מטייליים לא נחשבים).",,"אם אשת הארגמן הפכה לשד היום: תראה לה את קלף ""את"" ואת אסימון השד.",שד,-1,26,minion,tb,FALSE
seamstress,תופרת,"פעם אחת במשחק, בלילה, תבחרי 2 שחקנים (לא את עצמך): את לומדת אם הם מאותה הקבוצה.",התופרת מנדנדת את ראשה לשלילה או מצביעה על 2 שחקנים. תנענע בראש כן או תנדנד לשלילה בהתאם להאם הם מאותה הקבוצה.,אם התופרת עוד לא השתמשה ביכולת שלה: התופרת מנדנדת את ראשה לשלילה או מצביעה על 2 שחקנים. תנענע בראש כן או תנדנד לשלילה בהתאם להאם הם מאותה הקבוצה.,אין יכולת,51,67,townsfolk,snv,FALSE
sentinel,שומר,עלול להיות זר אחד יותר או פחות במשחק.,,,,-1,-1,fabled,experimental,FALSE
shabaloth,שבלות',"בכל לילה*, תבחר 2 שחקנים: הם מתים. שחקן מת שבחרת בלילה הקודם עלול לחזור לחיים.",,שחקן אחד ששבלות' בחר בלילה הקודם עלול לחזור לחיים. השבלות' מצביע על 2 שחקנים. הם מתים.,"מת, חי",-1,34,demon,bmr,FALSE
slayer,קוטל,"פעם אחת במשחק, במהלך היום, תכריז בפומבי על שחקן: אם הוא השד, הוא מת.",,,אין יכולת,-1,-1,townsfolk,tb,FALSE
snakecharmer,מהפנט נחשים,"בכל לילה, תבחר שחקן חי: אם בחרת בשד אתה מחליף דמויות וקבוצות איתו, ואז הוא מורעל.",מהפנט הנחשים מצביע על שחקן. אם השחקן הזה הוא השד: תחליף את הדמויות והקבוצות של השד ושל מהפנט הנחשים. תעיר כל אחד מהם ותראה להם את הדמות והקבוצה החדשה שלהם. מהפנט הנחשים החדש מורעל.,מהפנט הנחשים מצביע על שחקן. אם השחקן הזה הוא השד: תחליף את הדמויות והקבוצות של השד ושל מהפנט הנחשים. תעיר כל אחד מהם ותראה להם את הדמות והקבוצה החדשה שלהם. מהפנט הנחשים החדש מורעל.,מורעל,27,17,townsfolk,snv,FALSE
snitch,מלשן,משרתים מתחילים עם ידיעה של 3 דמויות שלא במשחק.,"אחרי שהמשרתים מתעוררים ומקבלים מידע, תראה לכל משרת 3 אסימוני דמויות שלא במשחק. הם יכולים להיות אותו הדבר או שונים בין כל משרת ובין השד.",,,14,-1,outsider,experimental,FALSE
soldier,חייל,אתה בטוח מפני השד.,,,,-1,-1,townsfolk,tb,FALSE
spiritofivory,רוח השנהב,לא יכולה להיות יותר מדמות רעה נוספת אחת.,,,אין רעים נוספים,-1,-1,fabled,experimental,FALSE
spy,מרגל,"בכל לילה, אתה רואה את הגרימואר. אתה עלול להיחשב כטוב וכדמות תושב-עיירה או זר, אפילו אם אתה מת.",תראה את הגרימואר למרגל לכמה זמן שהוא צריך.,תראה את הגרימואר למרגל לכמה זמן שהוא צריך.,,59,75,minion,tb,FALSE
steward,דייל,אתה מתחיל בידיעה על שחקן טוב אחד.,"הצבע על שחקן טוב המסומן ב""יודע""",,יודע,52,-1,townsfolk,experimental,FALSE
stormcatcher,לוכד סערות,"תגיד שם של דמות טובה. אם היא במשחק, היא יכולה למות רק ע""י הוצאה להורג, אבל דמויוות רעות יודעות מי השחקן של הדמות הזו.",,,מוגן,3,-1,fabled,experimental,FALSE
sweetheart,מותק,"כשאת מתה, שחקן אחד הוא שיכור מעכשיו והלאה.",,"אם המותק מתה, תבחר שחקן שיהיה שיכור.",שיכור,-1,48,outsider,snv,FALSE
tealady,נערת התה,"אם שני השכנים שלך הם טובים, הם לא יכולים למות.",,,לא יכול למות,-1,-1,townsfolk,bmr,FALSE
thief,גנב,"בכל לילה, תבחר שחקן (לא את עצמך): ההצבעה שלו נחשבת כשלילית מחר.","הגנב מצביע על שחקן. שים את אסימון ה""הצבעה שלילית"" ליד אסימון השחקן שנבחר.","הגנב מצביע על שחקן. שים את אסימון ה""הצבעה שלילית"" ליד אסימון השחקן שנבחר.",הצבעה שלילית,8,7,traveller,experimental,FALSE
tinker,פחח,אתה עלול למות בכל רגע.,,הפחח עלול למות.,מת,-1,56,outsider,bmr,FALSE
towncrier,כרוז עירוני,"בכל לילה*,  אתה לומד אם משרת העלה להצבעה היום.",,"תנענע בראשך לחיוב או תנדנד לשלילה בהתאם להאם משרת הצביע היום. תוסיף את סממן ""משרת לא הצביע היום"".","משרת העלה להצבעה, משרת לא העלה להצבעה",-1,65,townsfolk,snv,FALSE
toymaker,יצרן הצעצועים,השד רשאי לבחור לא לתקוף וחייב לעשות את זה לפחות פעם אחת במשחק. שחקנים רעים מקבלים מידע התחלתי כרגיל.,,,אין התקפה,4,2,fabled,experimental,FALSE
undertaker,קברן,"בכל לילה*, אתם לומדים איזו דמות מתה היום בהוצאה להורג.",,אם שחקן הוצא להורג היום: תראה את אסימון הדמות של השחקן הזה לקברן.,הוצא להורג,-1,62,townsfolk,tb,FALSE
vigormortis,ויגורמורטיס,"בכל לילה*, תבחר שחקן: הוא מת. משרתים שאתה הורג שומרים את היכולת שלהם ומרעילים תושב-עיירה אחד ששכן להם. [-1 זר]",,"הויגורמורטיס מצביע על שחקן. הוא מת. אם משרת מת ככה, הוא משאיר את היכולת שלו ואחד מהשכנים שלו הופך למורעל.","מת, יש יכולת, מורעל",-1,39,demon,snv,TRUE
virgin,בתול,"הפעם הראשונה שמעלים אותך להצבעה, אם מי שהעמיד אותך הוא תושב-עיירה, הוא מוצא להורג מיד.",,,אין יכולת,-1,-1,townsfolk,tb,FALSE
vizier,וזיר,"כל השחקנים יודעים מי אתה. אתה לא יכול למות במהלך היום. אם הטובים הצביעו, אתה רשאי להוציא להורג מיד.",הכרז על שחקן הוזיר לקבוצה.,,,66,-1,minion,experimental,FALSE
vortox,וורטוקס,"בכל לילה*, תבחר שחקן: הוא מת. יכולות של תושבי-עיירה נותנות מידע שגוי. בכל יום, אם אף אחד לא הוצא להורג, הרעים מנצחים.",,הוורטוקס מצביע על שחקן. הוא מת.,מת,-1,38,demon,snv,FALSE
voudon,וודון,רק אתה והמתים יכולים להצביע. הם לא צריכים אסימון הצבעה בשביל להצביע. לא צריך רוב של 50%.,,,,-1,-1,traveller,experimental,FALSE
washerwoman,כובסת,את מתחילה בידיעה שאחד מתוך שני שחקנים הוא תושב-עיירה ספציפי.,"תראה אסימון דמות של תושב-עיירה שבמשחק לכובסת. תצביע על שני שחקנים, שאחד מהם זה הדמות שנחשפה.",,"תושב-עיירה, לא תושב-עיירה",41,-1,townsfolk,tb,FALSE
widow,אלמנה,"בלילה הראשון שלך, תסתכלי בגרימואר ותבחרי שחקן: הוא מורעל. שחקן טוב אחד יודע שהאלמנה במשחק.","תראה את הגרימואר לאלמנה לכמה זמן שהיא צריכה. האלמנה מצביעה על שחקן. השחקן הזה מורעל. תעיר שחקן טוב כלשהו. תראה לו את קלף ""הדמות הזו במשחק"" ואז את אסימון ה""אלמנה"".",,"מורעל, יודע",25,-1,minion,experimental,FALSE
witch,מכשפה,"בכל לילה, תבחרי שחקן: אם הוא מעלה להצבעה מחר, הוא מת. אם רק 3 שחקנים חיים, את מאבדת את היכולת הזו.",המכשפה מצביעה על שחקן. אם הוא מעלה להצבעה מחר הוא מת ישירות.,אם יותר מ4 שחקנים חיים: המכשפה מצביעה על שחקן. אם הוא מעלה להצבעה מחר הוא מת ישירות.,מקולל,31,20,minion,snv,FALSE
zombuul,זומבול,"בכל לילה*, אם אף אחד לא מת היום, תבחר שחקן: הוא מת. הפעם הראשונה שאתה מת, אתה חי אבל נחשב כמת.",,אם אף אחד לא מת במהלך היום: הזומבול מצביע על שחקן. השחקן הזה מת.,"מתו היום, מת",-1,32,demon,bmr,FALSE
dawn,שחר,,חכה מספר שניות. סיים את שלב הלילה.,חכה מספר שניות. סיים את שלב הלילה.,,64,80,reminders,,FALSE
dusk,בין הערביים,,התחל את שלב הלילה.,התחל את שלב הלילה.,,0,0,reminders,,FALSE
minioninfo,מידע למשרתים,,"אם יש 7 שחקנים או יותר, הער את כל המשרתים:
הראה את אסימון ""זה השד"" והצבע על השד.
הראה את אסימון ""אלה המשרתים שלך"" והצבע על שאר המשרתים.",,,13,-1,reminders,,FALSE
demoninfo,מידע לשד,,"אם יש 7 שחקנים או יותר, הער את השד:
הראה את אסימון ""אלה המשרתים שלך"" והצבע על כל המשרתים.
הראה את אסימון ""הדמויות האלה לא במשחק"" והראה לשד אסימונים של 3 דמויות טובות שלא נמצאות במשחק.",,,16,-1,reminders,,FALSE
