,name,characters,type,json,len
254,"Do It, You Cowards! V.2","sailor,preacher,chambermaid,dreamer,cult_leader,innkeeper,gambler,gossip,fool,pacifist,sage,magician,ravenkeeper,saint,klutz,golem,moonchild,devils_advocate,psychopath,goblin,boomdandy,lleech,zombuul,fang_gu,hells_librarian,sentinel,toymaker,storm_catcher",full,"[{""id"": ""_meta"", ""name"": ""Do It, You Cowards! V.2"", ""author"": ""Distorted Jazz""}, {""id"": ""sailor""}, {""id"": ""preacher""}, {""id"": ""chambermaid""}, {""id"": ""dreamer""}, {""id"": ""cult_leader""}, {""id"": ""innkeeper""}, {""id"": ""gambler""}, {""id"": ""gossip""}, {""id"": ""fool""}, {""id"": ""pacifist""}, {""id"": ""sage""}, {""id"": ""magician""}, {""id"": ""ravenkeeper""}, {""id"": ""saint""}, {""id"": ""klutz""}, {""id"": ""golem""}, {""id"": ""moonchild""}, {""id"": ""devils_advocate""}, {""id"": ""psychopath""}, {""id"": ""goblin""}, {""id"": ""boomdandy""}, {""id"": ""lleech""}, {""id"": ""zombuul""}, {""id"": ""fang_gu""}, {""id"": ""hells_librarian""}, {""id"": ""sentinel""}, {""id"": ""toymaker""}, {""id"": ""storm_catcher""}]",28
255,A Restful Night,"pixie,king,savant,artist,fisherman,slayer,philosopher,farmer,ravenkeeper,choirboy,virgin,magician,mayor,sweetheart,recluse,klutz,drunk,widow,baron,goblin,scarlet_woman,boomdandy,no_dashii,imp,legion",full,"[{""id"": ""_meta"", ""name"": ""A Restful Night v6""}, {""id"": ""pixie""}, {""id"": ""king""}, {""id"": ""savant""}, {""id"": ""artist""}, {""id"": ""fisherman""}, {""id"": ""slayer""}, {""id"": ""philosopher""}, {""id"": ""farmer""}, {""id"": ""ravenkeeper""}, {""id"": ""choirboy""}, {""id"": ""virgin""}, {""id"": ""magician""}, {""id"": ""mayor""}, {""id"": ""sweetheart""}, {""id"": ""recluse""}, {""id"": ""klutz""}, {""id"": ""drunk""}, {""id"": ""widow""}, {""id"": ""baron""}, {""id"": ""goblin""}, {""id"": ""scarlet_woman""}, {""id"": ""boomdandy""}, {""id"": ""no_dashii""}, {""id"": ""imp""}, {""id"": ""legion""}]",25
256,Madness Madness,"pixie,balloonist,dreamer,snake_charmer,town_crier,oracle,innkeeper,lycanthrope,amnesiac,juggler,huntsman,poppy_grower,atheist,mutant,damsel,drunk,lunatic,poisoner,cerenovus,evil_twin,boomdandy,marionette,fang_gu,vortox,legion",full,"[{""id"": ""_meta"", ""name"": ""Madness Madness by OngakuSensei""}, {""id"": ""pixie""}, {""id"": ""balloonist""}, {""id"": ""dreamer""}, {""id"": ""snake_charmer""}, {""id"": ""town_crier""}, {""id"": ""oracle""}, {""id"": ""innkeeper""}, {""id"": ""lycanthrope""}, {""id"": ""amnesiac""}, {""id"": ""juggler""}, {""id"": ""huntsman""}, {""id"": ""poppy_grower""}, {""id"": ""atheist""}, {""id"": ""mutant""}, {""id"": ""damsel""}, {""id"": ""drunk""}, {""id"": ""lunatic""}, {""id"": ""poisoner""}, {""id"": ""cerenovus""}, {""id"": ""evil_twin""}, {""id"": ""boomdandy""}, {""id"": ""marionette""}, {""id"": ""fang_gu""}, {""id"": ""vortox""}, {""id"": ""legion""}]",25
257,诡谲异象,"qintianjian,yinyangshi,dianxiaoer,langzhong,xionghaizi,jinyiwei,daoshi,wushiren,dagengren,xingjiaoshang,geling,fangshi,wudaozhe,jiubao,nichen,rulianshi,shaxing,niangjiushi,chimei,ganshiren,gudiao,dianyuzhang,jianning,taotie,hundun,jiaohuazi,hebo",full,"[{""id"": ""_meta"", ""name"": ""\u8be1\u8c32\u5f02\u8c61""}, {""id"": ""qintianjian""}, {""id"": ""yinyangshi""}, {""id"": ""dianxiaoer""}, {""id"": ""langzhong""}, {""id"": ""xionghaizi""}, {""id"": ""jinyiwei""}, {""id"": ""daoshi""}, {""id"": ""wushiren""}, {""id"": ""dagengren""}, {""id"": ""xingjiaoshang""}, {""id"": ""geling""}, {""id"": ""fangshi""}, {""id"": ""wudaozhe""}, {""id"": ""jiubao""}, {""id"": ""nichen""}, {""id"": ""rulianshi""}, {""id"": ""shaxing""}, {""id"": ""niangjiushi""}, {""id"": ""chimei""}, {""id"": ""ganshiren""}, {""id"": ""gudiao""}, {""id"": ""dianyuzhang""}, {""id"": ""jianning""}, {""id"": ""taotie""}, {""id"": ""hundun""}, {""id"": ""jiaohuazi""}, {""id"": ""hebo""}]",27
258,棋盘晚宴,"philosopher,librarian,knight,savant,grandmother,gossip,general,artist,oracle,seamstress,exorcist,monk,noble,klutz,drunk,barber,puzzlemaster,poisoner,pit-hag,vizier,godfather,no_dashii,po,vigormortis,fang_gu,duchess",full,"[{""id"": ""_meta"", ""name"": ""\u68cb\u76d8\u665a\u5bb4""}, {""id"": ""philosopher""}, {""id"": ""librarian""}, {""id"": ""knight""}, {""id"": ""savant""}, {""id"": ""grandmother""}, {""id"": ""gossip""}, {""id"": ""general""}, {""id"": ""artist""}, {""id"": ""oracle""}, {""id"": ""seamstress""}, {""id"": ""exorcist""}, {""id"": ""monk""}, {""id"": ""noble""}, {""id"": ""klutz""}, {""id"": ""drunk""}, {""id"": ""barber""}, {""id"": ""puzzlemaster""}, {""id"": ""poisoner""}, {""id"": ""pit-hag""}, {""id"": ""vizier""}, {""id"": ""godfather""}, {""id"": ""no_dashii""}, {""id"": ""po""}, {""id"": ""vigormortis""}, {""id"": ""fang_gu""}, {""id"": ""duchess""}]",26
259,God is abscnt,"washerwoman,gambler,librarian,oracle,investigator,ravenkeeper,grandmother,juggler,fortune_teller,philosopher,chambermaid,nightwatchman,monk,drunk,klutz,recluse,moonchild,marionette,poisoner,widow,witch,imp,pukka,vigormortis,no_dashii",full,"[{""id"": ""_meta"", ""name"": ""God is abscnt"", ""author"": ""\u9e26\u6728\u6572\u949f\u4eba\u9a6c\u8001\u5e08""}, {""id"": ""washerwoman""}, {""id"": ""gambler""}, {""id"": ""librarian""}, {""id"": ""oracle""}, {""id"": ""investigator""}, {""id"": ""ravenkeeper""}, {""id"": ""grandmother""}, {""id"": ""juggler""}, {""id"": ""fortune_teller""}, {""id"": ""philosopher""}, {""id"": ""chambermaid""}, {""id"": ""nightwatchman""}, {""id"": ""monk""}, {""id"": ""drunk""}, {""id"": ""klutz""}, {""id"": ""recluse""}, {""id"": ""moonchild""}, {""id"": ""marionette""}, {""id"": ""poisoner""}, {""id"": ""widow""}, {""id"": ""witch""}, {""id"": ""imp""}, {""id"": ""pukka""}, {""id"": ""vigormortis""}, {""id"": ""no_dashii""}]",25
260,A Day Late and a Euro Short,"chef,pixie,general,chambermaid,mathematician,oracle,gambler,savant,juggler,nightwatchman,fisherman,philosopher,cannibal,acrobat,mutant,klutz,drunk,barber,godfather,poisoner,cerenovus,assassin,pukka",full,"[{""id"": ""_meta"", ""name"": ""A Day Late and a Euro Short"", ""author"": ""FMJason and Bambi""}, {""id"": ""chef""}, {""id"": ""pixie""}, {""id"": ""general""}, {""id"": ""chambermaid""}, {""id"": ""mathematician""}, {""id"": ""oracle""}, {""id"": ""gambler""}, {""id"": ""savant""}, {""id"": ""juggler""}, {""id"": ""nightwatchman""}, {""id"": ""fisherman""}, {""id"": ""philosopher""}, {""id"": ""cannibal""}, {""id"": ""acrobat""}, {""id"": ""mutant""}, {""id"": ""klutz""}, {""id"": ""drunk""}, {""id"": ""barber""}, {""id"": ""godfather""}, {""id"": ""poisoner""}, {""id"": ""cerenovus""}, {""id"": ""assassin""}, {""id"": ""pukka""}]",23
261,No More Nightmares,"cult_leader,artist,fisherman,slayer,amnesiac,cannibal,virgin,farmer,soldier,minstrel,mayor,magician,poppy_grower,snitch,recluse,drunk,sweetheart,psychopath,marionette,scarlet_woman,baron,pukka,no_dashii,legion,lil_monsta,duchess",full,"[{""id"": ""_meta"", ""name"": ""No more nightmares v1.1"", ""author"": """"}, {""id"": ""cult_leader""}, {""id"": ""artist""}, {""id"": ""fisherman""}, {""id"": ""slayer""}, {""id"": ""amnesiac""}, {""id"": ""cannibal""}, {""id"": ""virgin""}, {""id"": ""farmer""}, {""id"": ""soldier""}, {""id"": ""minstrel""}, {""id"": ""mayor""}, {""id"": ""magician""}, {""id"": ""poppy_grower""}, {""id"": ""snitch""}, {""id"": ""recluse""}, {""id"": ""drunk""}, {""id"": ""sweetheart""}, {""id"": ""psychopath""}, {""id"": ""marionette""}, {""id"": ""scarlet_woman""}, {""id"": ""baron""}, {""id"": ""pukka""}, {""id"": ""no_dashii""}, {""id"": ""legion""}, {""id"": ""lil_monsta""}, {""id"": ""duchess""}]",26
262,The Return of Jafar,"librarian,investigator,dreamer,fortune_teller,snake_charmer,innkeeper,undertaker,oracle,courtier,philosopher,fisherman,ravenkeeper,amnesiac,barber,drunk,recluse,lunatic,spy,witch,marionette,vizier,pukka,vigormortis,fang_gu,imp",full,"[{""id"": ""_meta"", ""name"": ""The Return of Jafar"", ""author"": ""jimothy""}, {""id"": ""librarian""}, {""id"": ""investigator""}, {""id"": ""dreamer""}, {""id"": ""fortune_teller""}, {""id"": ""snake_charmer""}, {""id"": ""innkeeper""}, {""id"": ""undertaker""}, {""id"": ""oracle""}, {""id"": ""courtier""}, {""id"": ""philosopher""}, {""id"": ""fisherman""}, {""id"": ""ravenkeeper""}, {""id"": ""amnesiac""}, {""id"": ""barber""}, {""id"": ""drunk""}, {""id"": ""recluse""}, {""id"": ""lunatic""}, {""id"": ""spy""}, {""id"": ""witch""}, {""id"": ""marionette""}, {""id"": ""vizier""}, {""id"": ""pukka""}, {""id"": ""vigormortis""}, {""id"": ""fang_gu""}, {""id"": ""imp""}]",25
263,When I Was You,"pixie,sailor,snake_charmer,empath,oracle,amnesiac,savant,philosopher,huntsman,soldier,magician,farmer,pacifist,barber,damsel,mutant,drunk,cerenovus,poisoner,evil_twin,scarlet_woman,fang_gu,imp,lleech",full,"[{""id"": ""_meta"", ""name"": ""When I Was You"", ""author"": ""Monika""}, {""id"": ""pixie""}, {""id"": ""sailor""}, {""id"": ""snake_charmer""}, {""id"": ""empath""}, {""id"": ""oracle""}, {""id"": ""amnesiac""}, {""id"": ""savant""}, {""id"": ""philosopher""}, {""id"": ""huntsman""}, {""id"": ""soldier""}, {""id"": ""magician""}, {""id"": ""farmer""}, {""id"": ""pacifist""}, {""id"": ""barber""}, {""id"": ""damsel""}, {""id"": ""mutant""}, {""id"": ""drunk""}, {""id"": ""cerenovus""}, {""id"": ""poisoner""}, {""id"": ""evil_twin""}, {""id"": ""scarlet_woman""}, {""id"": ""fang_gu""}, {""id"": ""imp""}, {""id"": ""lleech""}]",24
264,走火入魔,"librarian,clockmaker,grandmother,mathematician,chambermaid,flowergirl,dreamer,king,artist,noble,nightwatchman,choirboy,undertaker,saint,goon,tinker,puzzlemaster,baron,spy,psychopath,assassin,imp,no_dashii,po,zombuul,bureaucrat,bone_collector,thief,deviant,bishop",full,"[{""id"": ""_meta"", ""name"": ""\u8d70\u706b\u5165\u9b54""}, {""id"": ""librarian""}, {""id"": ""clockmaker""}, {""id"": ""grandmother""}, {""id"": ""mathematician""}, {""id"": ""chambermaid""}, {""id"": ""flowergirl""}, {""id"": ""dreamer""}, {""id"": ""king""}, {""id"": ""artist""}, {""id"": ""noble""}, {""id"": ""nightwatchman""}, {""id"": ""choirboy""}, {""id"": ""undertaker""}, {""id"": ""saint""}, {""id"": ""goon""}, {""id"": ""tinker""}, {""id"": ""puzzlemaster""}, {""id"": ""baron""}, {""id"": ""spy""}, {""id"": ""psychopath""}, {""id"": ""assassin""}, {""id"": ""imp""}, {""id"": ""no_dashii""}, {""id"": ""po""}, {""id"": ""zombuul""}, {""id"": ""bureaucrat""}, {""id"": ""bone_collector""}, {""id"": ""thief""}, {""id"": ""deviant""}, {""id"": ""bishop""}]",30
265,灰飞烟灭,"town_crier,innkeeper,balloonist,chambermaid,dreamer,amnesiac,slayer,artist,librarian,gossip,empath,farmer,philosopher,barber,klutz,puzzlemaster,goon,widow,witch,mastermind,boomdandy,evil_twin,pukka,lil_monsta,no_dashii",full,"[{""id"": ""_meta"", ""name"": ""\u7070\u98de\u70df\u706d""}, {""id"": ""town_crier""}, {""id"": ""innkeeper""}, {""id"": ""balloonist""}, {""id"": ""chambermaid""}, {""id"": ""dreamer""}, {""id"": ""amnesiac""}, {""id"": ""slayer""}, {""id"": ""artist""}, {""id"": ""librarian""}, {""id"": ""gossip""}, {""id"": ""empath""}, {""id"": ""farmer""}, {""id"": ""philosopher""}, {""id"": ""barber""}, {""id"": ""klutz""}, {""id"": ""puzzlemaster""}, {""id"": ""goon""}, {""id"": ""widow""}, {""id"": ""witch""}, {""id"": ""mastermind""}, {""id"": ""boomdandy""}, {""id"": ""evil_twin""}, {""id"": ""pukka""}, {""id"": ""lil_monsta""}, {""id"": ""no_dashii""}]",25
266,Genshin Impact (Probably),"librarian,investigator,chef,chambermaid,fortune_teller,general,monk,undertaker,minstrel,alchemist,slayer,huntsman,professor,drunk,sweetheart,goon,damsel,spy,witch,devils_advocate,boomdandy,goblin,pukka,fang_gu,zombuul",full,"[{""id"": ""_meta"", ""name"": ""Genshin Impact (Probably)"", ""author"": ""Riku""}, {""id"": ""librarian""}, {""id"": ""investigator""}, {""id"": ""chef""}, {""id"": ""chambermaid""}, {""id"": ""fortune_teller""}, {""id"": ""general""}, {""id"": ""monk""}, {""id"": ""undertaker""}, {""id"": ""minstrel""}, {""id"": ""alchemist""}, {""id"": ""slayer""}, {""id"": ""huntsman""}, {""id"": ""professor""}, {""id"": ""drunk""}, {""id"": ""sweetheart""}, {""id"": ""goon""}, {""id"": ""damsel""}, {""id"": ""spy""}, {""id"": ""witch""}, {""id"": ""devils_advocate""}, {""id"": ""boomdandy""}, {""id"": ""goblin""}, {""id"": ""pukka""}, {""id"": ""fang_gu""}, {""id"": ""zombuul""}]",25
267,Bushboots Inn (Innkeeper Favoured),"pixie,empath,fortune_teller,king,general,oracle,undertaker,innkeeper,town_crier,amnesiac,savant,choirboy,butler,tinker,mutant,moonchild,poisoner,spy,cerenovus,organ_grinder,al-hadikhia,sentinel,storm_catcher",full,"[{""id"": ""_meta"", ""name"": ""Bushboots Inn"", ""author"": """"}, {""id"": ""pixie""}, {""id"": ""empath""}, {""id"": ""fortune_teller""}, {""id"": ""king""}, {""id"": ""general""}, {""id"": ""oracle""}, {""id"": ""undertaker""}, {""id"": ""innkeeper""}, {""id"": ""town_crier""}, {""id"": ""amnesiac""}, {""id"": ""savant""}, {""id"": ""choirboy""}, {""id"": ""butler""}, {""id"": ""tinker""}, {""id"": ""mutant""}, {""id"": ""moonchild""}, {""id"": ""poisoner""}, {""id"": ""spy""}, {""id"": ""cerenovus""}, {""id"": ""organ_grinder""}, {""id"": ""al-hadikhia""}, {""id"": ""sentinel""}, {""id"": ""storm_catcher""}]",23
268,幻作花雾,"pixie,dreamer,snake_charmer,undertaker,gambler,lycanthrope,savant,professor,artist,fisherman,alchemist,magician,poppy_grower,drunk,lunatic,recluse,tinker,cerenovus,pit-hag,psychopath,marionette,no_dashii,legion,leviathan,vortox",full,"[{""id"": ""_meta"", ""name"": ""\u5e7b\u4f5c\u82b1\u96fe""}, {""id"": ""pixie""}, {""id"": ""dreamer""}, {""id"": ""snake_charmer""}, {""id"": ""undertaker""}, {""id"": ""gambler""}, {""id"": ""lycanthrope""}, {""id"": ""savant""}, {""id"": ""professor""}, {""id"": ""artist""}, {""id"": ""fisherman""}, {""id"": ""alchemist""}, {""id"": ""magician""}, {""id"": ""poppy_grower""}, {""id"": ""drunk""}, {""id"": ""lunatic""}, {""id"": ""recluse""}, {""id"": ""tinker""}, {""id"": ""cerenovus""}, {""id"": ""pit-hag""}, {""id"": ""psychopath""}, {""id"": ""marionette""}, {""id"": ""no_dashii""}, {""id"": ""legion""}, {""id"": ""leviathan""}, {""id"": ""vortox""}]",25
269,Can we start,"chambermaid,grandmother,farmer,artist,empath,savant,snake_charmer,gossip,gambler,flowergirl,sailor,magician,poppy_grower,drunk,lunatic,politician,barber,goblin,evil_twin,mezepheles,cerenovus,al-hadikhia,po,fang_gu",full,"[{""id"": ""_meta"", ""name"": ""can we start"", ""author"": ""Rachel and Harry""}, {""id"": ""chambermaid""}, {""id"": ""grandmother""}, {""id"": ""farmer""}, {""id"": ""artist""}, {""id"": ""empath""}, {""id"": ""savant""}, {""id"": ""snake_charmer""}, {""id"": ""gossip""}, {""id"": ""gambler""}, {""id"": ""flowergirl""}, {""id"": ""sailor""}, {""id"": ""magician""}, {""id"": ""poppy_grower""}, {""id"": ""drunk""}, {""id"": ""lunatic""}, {""id"": ""politician""}, {""id"": ""barber""}, {""id"": ""goblin""}, {""id"": ""evil_twin""}, {""id"": ""mezepheles""}, {""id"": ""cerenovus""}, {""id"": ""al-hadikhia""}, {""id"": ""po""}, {""id"": ""fang_gu""}]",24
270,Scourge of the Carpathians,"investigator,clockmaker,grandmother,preacher,fortune_teller,mathematician,innkeeper,savant,juggler,philosopher,soldier,magician,cannibal,acrobat,puzzlemaster,sweetheart,mutant,godfather,widow,pit-hag,assassin,vigormortis,sentinel",full,"[{""id"": ""_meta"", ""name"": ""Scourge of the Carpathians""}, {""id"": ""investigator""}, {""id"": ""clockmaker""}, {""id"": ""grandmother""}, {""id"": ""preacher""}, {""id"": ""fortune_teller""}, {""id"": ""mathematician""}, {""id"": ""innkeeper""}, {""id"": ""savant""}, {""id"": ""juggler""}, {""id"": ""philosopher""}, {""id"": ""soldier""}, {""id"": ""magician""}, {""id"": ""cannibal""}, {""id"": ""acrobat""}, {""id"": ""puzzlemaster""}, {""id"": ""sweetheart""}, {""id"": ""mutant""}, {""id"": ""godfather""}, {""id"": ""widow""}, {""id"": ""pit-hag""}, {""id"": ""assassin""}, {""id"": ""vigormortis""}, {""id"": ""sentinel""}]",23
271,Insomnia,"gossip,savant,artist,fisherman,slayer,soldier,fool,farmer,virgin,poppy_grower,minstrel,mayor,saint,sweetheart,recluse,drunk,baron,goblin,scarlet_woman,mastermind,evil_twin,imp,po,zombuul",full,"[{""id"": ""_meta"", ""name"": ""Insomnia"", ""author"": ""Jsmoothnyc""}, {""id"": ""gossip""}, {""id"": ""savant""}, {""id"": ""artist""}, {""id"": ""fisherman""}, {""id"": ""slayer""}, {""id"": ""soldier""}, {""id"": ""fool""}, {""id"": ""farmer""}, {""id"": ""virgin""}, {""id"": ""poppy_grower""}, {""id"": ""minstrel""}, {""id"": ""mayor""}, {""id"": ""saint""}, {""id"": ""sweetheart""}, {""id"": ""recluse""}, {""id"": ""drunk""}, {""id"": ""baron""}, {""id"": ""goblin""}, {""id"": ""scarlet_woman""}, {""id"": ""mastermind""}, {""id"": ""evil_twin""}, {""id"": ""imp""}, {""id"": ""po""}, {""id"": ""zombuul""}]",24
272,*backflips*,"investigator,pixie,empath,sailor,oracle,innkeeper,gambler,gossip,savant,engineer,professor,ravenkeeper,cannibal,goon,acrobat,recluse,klutz,godfather,poisoner,devils_advocate,spy,assassin,pukka,shabaloth,vigormortis",full,"[{""id"": ""_meta"", ""name"": ""*backflips*"", ""author"": ""Hallow""}, {""id"": ""investigator""}, {""id"": ""pixie""}, {""id"": ""empath""}, {""id"": ""sailor""}, {""id"": ""oracle""}, {""id"": ""innkeeper""}, {""id"": ""gambler""}, {""id"": ""gossip""}, {""id"": ""savant""}, {""id"": ""engineer""}, {""id"": ""professor""}, {""id"": ""ravenkeeper""}, {""id"": ""cannibal""}, {""id"": ""goon""}, {""id"": ""acrobat""}, {""id"": ""recluse""}, {""id"": ""klutz""}, {""id"": ""godfather""}, {""id"": ""poisoner""}, {""id"": ""devils_advocate""}, {""id"": ""spy""}, {""id"": ""assassin""}, {""id"": ""pukka""}, {""id"": ""shabaloth""}, {""id"": ""vigormortis""}]",25
273,千本樱,"clockmaker,dreamer,washerwoman,general,chambermaid,sailor,exorcist,king,gambler,nightwatchman,gossip,fisherman,librarian,puzzlemaster,goon,politician,tinker,poisoner,evil_twin,devils_advocate,widow,al-hadikhia,shabaloth,po,vigormortis,apprentice,bishop",full,"[{""id"": ""_meta"", ""name"": ""\u5343\u672c\u6a31""}, {""id"": ""clockmaker""}, {""id"": ""dreamer""}, {""id"": ""washerwoman""}, {""id"": ""general""}, {""id"": ""chambermaid""}, {""id"": ""sailor""}, {""id"": ""exorcist""}, {""id"": ""king""}, {""id"": ""gambler""}, {""id"": ""nightwatchman""}, {""id"": ""gossip""}, {""id"": ""fisherman""}, {""id"": ""librarian""}, {""id"": ""puzzlemaster""}, {""id"": ""goon""}, {""id"": ""politician""}, {""id"": ""tinker""}, {""id"": ""poisoner""}, {""id"": ""evil_twin""}, {""id"": ""devils_advocate""}, {""id"": ""widow""}, {""id"": ""al-hadikhia""}, {""id"": ""shabaloth""}, {""id"": ""po""}, {""id"": ""vigormortis""}, {""id"": ""apprentice""}, {""id"": ""bishop""}]",27
274,Freaky Friday,"pixie,balloonist,dreamer,snake_charmer,savant,amnesiac,engineer,philosopher,huntsman,alchemist,farmer,magician,cannibal,damsel,drunk,barber,lunatic,cerenovus,pit-hag,scarlet_woman,evil_twin,lil_monsta,imp,fang_gu,legion",full,"[{""id"": ""_meta"", ""name"": ""Freaky Friday"", ""author"": ""Mystic Inferno""}, {""id"": ""pixie""}, {""id"": ""balloonist""}, {""id"": ""dreamer""}, {""id"": ""snake_charmer""}, {""id"": ""savant""}, {""id"": ""amnesiac""}, {""id"": ""engineer""}, {""id"": ""philosopher""}, {""id"": ""huntsman""}, {""id"": ""alchemist""}, {""id"": ""farmer""}, {""id"": ""magician""}, {""id"": ""cannibal""}, {""id"": ""damsel""}, {""id"": ""drunk""}, {""id"": ""barber""}, {""id"": ""lunatic""}, {""id"": ""cerenovus""}, {""id"": ""pit-hag""}, {""id"": ""scarlet_woman""}, {""id"": ""evil_twin""}, {""id"": ""lil_monsta""}, {""id"": ""imp""}, {""id"": ""fang_gu""}, {""id"": ""legion""}]",25
275,Whack-A-Minion,"bounty_hunter,chef,pixie,gossip,balloonist,cult_leader,general,lycanthrope,oracle,courtier,slayer,farmer,pacifist,acrobat,mutant,puzzlemaster,recluse,assassin,devils_advocate,pit-hag,poisoner,spy,legion,lil_monsta,vigormortis",full,"[{""id"": ""_meta"", ""name"": ""Whack-A-Minion"", ""author"": ""Coy Christensen""}, {""id"": ""bounty_hunter""}, {""id"": ""chef""}, {""id"": ""pixie""}, {""id"": ""gossip""}, {""id"": ""balloonist""}, {""id"": ""cult_leader""}, {""id"": ""general""}, {""id"": ""lycanthrope""}, {""id"": ""oracle""}, {""id"": ""courtier""}, {""id"": ""slayer""}, {""id"": ""farmer""}, {""id"": ""pacifist""}, {""id"": ""acrobat""}, {""id"": ""mutant""}, {""id"": ""puzzlemaster""}, {""id"": ""recluse""}, {""id"": ""assassin""}, {""id"": ""devils_advocate""}, {""id"": ""pit-hag""}, {""id"": ""poisoner""}, {""id"": ""spy""}, {""id"": ""legion""}, {""id"": ""lil_monsta""}, {""id"": ""vigormortis""}]",25
276,Night in the Kitsune Forest,"pixie,general,balloonist,king,fisherman,philosopher,huntsman,choirboy,ravenkeeper,virgin,amnesiac,mayor,cannibal,damsel,barber,drunk,mutant,spy,cerenovus,pit-hag,scarlet_woman,marionette,pukka,vortox,fang_gu",full,"[{""id"": ""_meta"", ""name"": ""Night in the Kitsune Forest (v1.4)"", ""author"": ""Maya""}, {""id"": ""pixie""}, {""id"": ""general""}, {""id"": ""balloonist""}, {""id"": ""king""}, {""id"": ""fisherman""}, {""id"": ""philosopher""}, {""id"": ""huntsman""}, {""id"": ""choirboy""}, {""id"": ""ravenkeeper""}, {""id"": ""virgin""}, {""id"": ""amnesiac""}, {""id"": ""mayor""}, {""id"": ""cannibal""}, {""id"": ""damsel""}, {""id"": ""barber""}, {""id"": ""drunk""}, {""id"": ""mutant""}, {""id"": ""spy""}, {""id"": ""cerenovus""}, {""id"": ""pit-hag""}, {""id"": ""scarlet_woman""}, {""id"": ""marionette""}, {""id"": ""pukka""}, {""id"": ""vortox""}, {""id"": ""fang_gu""}]",25
277,In Tension,"noble,grandmother,general,preacher,chambermaid,snake_charmer,oracle,gambler,exorcist,slayer,philosopher,soldier,mayor,goon,tinker,damsel,lunatic,godfather,poisoner,mezepheles,scarlet_woman,mastermind,po",full,"[{""id"": ""_meta"", ""name"": ""In Tension"", ""author"": ""Flyingludicolo""}, {""id"": ""noble""}, {""id"": ""grandmother""}, {""id"": ""general""}, {""id"": ""preacher""}, {""id"": ""chambermaid""}, {""id"": ""snake_charmer""}, {""id"": ""oracle""}, {""id"": ""gambler""}, {""id"": ""exorcist""}, {""id"": ""slayer""}, {""id"": ""philosopher""}, {""id"": ""soldier""}, {""id"": ""mayor""}, {""id"": ""goon""}, {""id"": ""tinker""}, {""id"": ""damsel""}, {""id"": ""lunatic""}, {""id"": ""godfather""}, {""id"": ""poisoner""}, {""id"": ""mezepheles""}, {""id"": ""scarlet_woman""}, {""id"": ""mastermind""}, {""id"": ""po""}]",23
278,Sickly Sweet,"grandmother,chef,noble,savant,gossip,snake_charmer,empath,flowergirl,artist,philosopher,seamstress,courtier,cannibal,acrobat,goon,recluse,sweetheart,tinker,godfather,widow,poisoner,scarlet_woman,fang_gu,no_dashii,vigormortis,barista",full,"[{""id"": ""_meta"", ""name"": ""Sickly Sweet"", ""author"": ""LRZH""}, {""id"": ""grandmother""}, {""id"": ""chef""}, {""id"": ""noble""}, {""id"": ""savant""}, {""id"": ""gossip""}, {""id"": ""snake_charmer""}, {""id"": ""empath""}, {""id"": ""flowergirl""}, {""id"": ""artist""}, {""id"": ""philosopher""}, {""id"": ""seamstress""}, {""id"": ""courtier""}, {""id"": ""cannibal""}, {""id"": ""acrobat""}, {""id"": ""goon""}, {""id"": ""recluse""}, {""id"": ""sweetheart""}, {""id"": ""tinker""}, {""id"": ""godfather""}, {""id"": ""widow""}, {""id"": ""poisoner""}, {""id"": ""scarlet_woman""}, {""id"": ""fang_gu""}, {""id"": ""no_dashii""}, {""id"": ""vigormortis""}, {""id"": ""barista""}]",26
279,Any%,"investigator,washerwoman,pixie,empath,dreamer,snake_charmer,amnesiac,juggler,professor,philosopher,alchemist,poppy_grower,cannibal,acrobat,sweetheart,heretic,drunk,lunatic,widow,poisoner,baron,goblin,boomdandy,shabaloth,legion",full,"[{""id"": ""_meta"", ""name"": ""Any%"", ""author"": ""George""}, {""id"": ""investigator""}, {""id"": ""washerwoman""}, {""id"": ""pixie""}, {""id"": ""empath""}, {""id"": ""dreamer""}, {""id"": ""snake_charmer""}, {""id"": ""amnesiac""}, {""id"": ""juggler""}, {""id"": ""professor""}, {""id"": ""philosopher""}, {""id"": ""alchemist""}, {""id"": ""poppy_grower""}, {""id"": ""cannibal""}, {""id"": ""acrobat""}, {""id"": ""sweetheart""}, {""id"": ""heretic""}, {""id"": ""drunk""}, {""id"": ""lunatic""}, {""id"": ""widow""}, {""id"": ""poisoner""}, {""id"": ""baron""}, {""id"": ""goblin""}, {""id"": ""boomdandy""}, {""id"": ""shabaloth""}, {""id"": ""legion""}]",25
